CYCLE, EVENT_NAME, CACHE_NAME, ADDR, IP, CACHE_HIT, TYPE
1961,PREFETCH_SUCCESS,cpu0_L2C,48234771,0,0,0
1962,PREFETCH_SUCCESS,cpu0_L2C,48234772,0,0,0
1963,PREFETCH_SUCCESS,cpu0_L2C,48234773,0,0,0
1964,PREFETCH_SUCCESS,cpu0_L2C,48234774,0,0,0
2147,CACHE_OPERATE,cpu0_L2C,102137164,4201008,1,LOAD
2147,PREFETCH_SUCCESS,cpu0_L2C,102137169,0,0,0
2148,PREFETCH_SUCCESS,cpu0_L2C,102137170,0,0,0
2149,CACHE_OPERATE,cpu0_L2C,111930892,4201020,0,LOAD
2149,PREFETCH_SUCCESS,cpu0_L2C,111930897,0,0,0
2150,CACHE_OPERATE,cpu0_L2C,78007564,4201044,0,LOAD
2150,PREFETCH_SUCCESS,cpu0_L2C,78007569,0,0,0
2151,CACHE_OPERATE,cpu0_L2C,17681804,4201057,0,LOAD
2151,PREFETCH_SUCCESS,cpu0_L2C,17681809,0,0,0
2152,PREFETCH_SUCCESS,cpu0_L2C,17681810,0,0,0
2153,PREFETCH_SUCCESS,cpu0_L2C,17681811,0,0,0
2154,PREFETCH_SUCCESS,cpu0_L2C,17681812,0,0,0
2155,PREFETCH_SUCCESS,cpu0_L2C,17681813,0,0,0
2156,PREFETCH_SUCCESS,cpu0_L2C,17681814,0,0,0
2157,PREFETCH_SUCCESS,cpu0_L2C,17681815,0,0,0
2159,CACHE_OPERATE,cpu0_L2C,48234764,4201071,0,LOAD
2159,PREFETCH_SUCCESS,cpu0_L2C,48234769,0,0,0
2160,PREFETCH_SUCCESS,cpu0_L2C,48234770,0,0,0
2161,CACHE_OPERATE,cpu0_L2C,26079052,4201094,1,LOAD
2161,PREFETCH_SUCCESS,cpu0_L2C,26079057,0,0,0
2162,CACHE_OPERATE,cpu0_L2C,52174348,4201107,1,LOAD
2162,PREFETCH_SUCCESS,cpu0_L2C,52174353,0,0,0
2163,PREFETCH_SUCCESS,cpu0_L2C,52174354,0,0,0
2164,PREFETCH_SUCCESS,cpu0_L2C,52174355,0,0,0
2165,PREFETCH_SUCCESS,cpu0_L2C,52174356,0,0,0
2166,PREFETCH_SUCCESS,cpu0_L2C,52174357,0,0,0
2167,PREFETCH_SUCCESS,cpu0_L2C,52174358,0,0,0
2168,PREFETCH_SUCCESS,cpu0_L2C,52174359,0,0,0
2366,CACHE_OPERATE,cpu0_L2C,95178497,4201034,0,LOAD
2388,CACHE_OPERATE,cpu0_L2C,102137165,4201008,1,LOAD
2398,CACHE_OPERATE,cpu0_L2C,111930893,4201020,0,LOAD
2399,CACHE_OPERATE,cpu0_L2C,78007565,4201044,0,LOAD
2400,CACHE_OPERATE,cpu0_L2C,72525764,4201049,0,LOAD
2401,CACHE_OPERATE,cpu0_L2C,17681805,4201057,0,LOAD
2401,PREFETCH_SUCCESS,cpu0_L2C,17681810,0,0,0
2402,CACHE_OPERATE,cpu0_L2C,123893387,4201062,0,LOAD
2402,PREFETCH_SUCCESS,cpu0_L2C,17681811,0,0,0
2403,CACHE_OPERATE,cpu0_L2C,48234765,4201071,0,LOAD
2403,PREFETCH_SUCCESS,cpu0_L2C,17681812,0,0,0
2404,CACHE_OPERATE,cpu0_L2C,26079053,4201094,1,LOAD
2404,PREFETCH_SUCCESS,cpu0_L2C,17681813,0,0,0
2405,CACHE_OPERATE,cpu0_L2C,87673149,4201099,0,LOAD
2405,PREFETCH_SUCCESS,cpu0_L2C,17681814,0,0,0
2406,CACHE_OPERATE,cpu0_L2C,52174349,4201107,1,LOAD
2406,PREFETCH_SUCCESS,cpu0_L2C,17681815,0,0,0
2407,CACHE_OPERATE,cpu0_L2C,5746294,4201112,0,LOAD
2407,PREFETCH_SUCCESS,cpu0_L2C,17681816,0,0,0
2412,CACHE_OPERATE,cpu0_L2C,102137166,4201008,1,LOAD
2414,CACHE_OPERATE,cpu0_L2C,111930894,4201020,1,LOAD
2415,CACHE_OPERATE,cpu0_L2C,78007566,4201044,1,LOAD
2418,CACHE_OPERATE,cpu0_L2C,17681806,4201057,1,LOAD
2424,CACHE_OPERATE,cpu0_L2C,48234766,4201071,1,LOAD
2426,CACHE_OPERATE,cpu0_L2C,26079054,4201094,1,LOAD
2427,CACHE_OPERATE,cpu0_L2C,52174350,4201107,1,LOAD
2520,CACHE_OPERATE,cpu0_L2C,102137167,4201008,0,LOAD
2521,CACHE_OPERATE,cpu0_L2C,111930895,4201020,1,LOAD
2523,CACHE_OPERATE,cpu0_L2C,78007567,4201044,1,LOAD
2524,CACHE_OPERATE,cpu0_L2C,17681807,4201057,0,LOAD
2533,CACHE_OPERATE,cpu0_L2C,48234767,4201071,1,LOAD
2534,CACHE_OPERATE,cpu0_L2C,26079055,4201094,1,LOAD
2535,CACHE_OPERATE,cpu0_L2C,52174351,4201107,1,LOAD
2855,CACHE_OPERATE,cpu0_L2C,102137168,4201008,0,LOAD
2855,PREFETCH_SUCCESS,cpu0_L2C,102137173,0,0,0
2856,PREFETCH_SUCCESS,cpu0_L2C,102137174,0,0,0
2857,PREFETCH_SUCCESS,cpu0_L2C,102137175,0,0,0
2858,PREFETCH_SUCCESS,cpu0_L2C,102137176,0,0,0
2859,PREFETCH_SUCCESS,cpu0_L2C,102137177,0,0,0
2860,PREFETCH_SUCCESS,cpu0_L2C,102137178,0,0,0
2861,PREFETCH_SUCCESS,cpu0_L2C,102137179,0,0,0
2865,CACHE_OPERATE,cpu0_L2C,111930896,4201020,1,LOAD
